Subject,Grade,Super Category,Category Code,Category Name,Skill Code,Permacode,Skill ID,Skill Name,Question Preview URL,URL
Maths,Reception,,B,Count to 5,B.5,2EP,2002012511,Count dots - up to 5,https://www.ixl.com/screenshot/74fd7bc11ba617def3ff482dfac0326ce8d0f26b.png,https://uk.ixl.com/maths/reception/count-dots-up-to-5
Maths,Reception,,B,Count to 5,B.5,2EP,2002012511,Count dots - up to 5,https://www.ixl.com/screenshot/74fd7bc11ba617def3ff482dfac0326ce8d0f26b.png,https://uk.ixl.com/maths/reception/count-dots-up-to-5
Maths,Reception,,B,Count to 5,B,2EP,2002012511,Count dots - up to 5,https://www.ixl.com/screenshot/74fd7bc11ba617def3ff482dfac0326ce8d0f26b.png,https://uk.ixl.com/maths/reception/count-dots-up-to-5
Maths,Reception,,B,Count to 5,B.6,Z95,2002012512,Count shapes - up to 5,https://www.ixl.com/screenshot/de8ca59c8a259ab31d5aebbae429bc83caffe72c.png,https://uk.ixl.com/maths/reception/count-shapes-up-to-5
Maths,Reception,,B,Count to 5,B.6,Z95,2002012512,Count shapes - up to 5,https://www.ixl.com/screenshot/de8ca59c8a259ab31d5aebbae429bc83caffe72c.png,https://uk.ixl.com/maths/reception/count-shapes-up-to-5
Maths,Reception,,B,Count to 5,B,Z95,2002012512,Count shapes - up to 5,https://www.ixl.com/screenshot/de8ca59c8a259ab31d5aebbae429bc83caffe72c.png,https://uk.ixl.com/maths/reception/count-shapes-up-to-5
Maths,Reception,,B,Count to 5,B.7,6Z5,2020056015,Count using stickers - up to 5,https://www.ixl.com/screenshot/a699b5be6d4a2ff9e7a89e8dd13bf1c5619150e5.png,https://uk.ixl.com/maths/reception/count-using-stickers-up-to-5
Maths,Reception,,B,Count to 5,B.7,6Z5,2020056015,Count using stickers - up to 5,https://www.ixl.com/screenshot/a699b5be6d4a2ff9e7a89e8dd13bf1c5619150e5.png,https://uk.ixl.com/maths/reception/count-using-stickers-up-to-5
Maths,Reception,,B,Count to 5,B,6Z5,2020056015,Count using stickers - up to 5,https://www.ixl.com/screenshot/a699b5be6d4a2ff9e7a89e8dd13bf1c5619150e5.png,https://uk.ixl.com/maths/reception/count-using-stickers-up-to-5
Maths,Reception,,B,Count to 5,B.8,8LC,2020056115,Count cubes - up to 5,https://www.ixl.com/screenshot/4064d3fdcfd5843f0cce39ddb4c1e8f9c5da65fe.png,https://uk.ixl.com/maths/reception/count-cubes-up-to-5
Maths,Reception,,B,Count to 5,B.8,8LC,2020056115,Count cubes - up to 5,https://www.ixl.com/screenshot/4064d3fdcfd5843f0cce39ddb4c1e8f9c5da65fe.png,https://uk.ixl.com/maths/reception/count-cubes-up-to-5
Maths,Reception,,B,Count to 5,B,8LC,2020056115,Count cubes - up to 5,https://www.ixl.com/screenshot/4064d3fdcfd5843f0cce39ddb4c1e8f9c5da65fe.png,https://uk.ixl.com/maths/reception/count-cubes-up-to-5
Maths,Reception,,B,Count to 5,B.9,KD2,2020056215,Show numbers with cubes - up to 5,https://www.ixl.com/screenshot/bcfc16496d2acbce1fcab8fb5ba3e10482b431a6.png,https://uk.ixl.com/maths/reception/show-numbers-with-cubes-up-to-5
Maths,Reception,,B,Count to 5,B.9,KD2,2020056215,Show numbers with cubes - up to 5,https://www.ixl.com/screenshot/bcfc16496d2acbce1fcab8fb5ba3e10482b431a6.png,https://uk.ixl.com/maths/reception/show-numbers-with-cubes-up-to-5
Maths,Reception,,B,Count to 5,B,KD2,2020056215,Show numbers with cubes - up to 5,https://www.ixl.com/screenshot/bcfc16496d2acbce1fcab8fb5ba3e10482b431a6.png,https://uk.ixl.com/maths/reception/show-numbers-with-cubes-up-to-5
Maths,Reception,,B,Count to 5,B.10,UAT,2020007372,Count on ten frames - up to 5,https://www.ixl.com/screenshot/f48ac451ef28a29dba3b90ba62df40336fa217b7.png,https://uk.ixl.com/maths/reception/count-on-ten-frames-up-to-5
Maths,Reception,,B,Count to 5,B.10,UAT,2020007372,Count on ten frames - up to 5,https://www.ixl.com/screenshot/f48ac451ef28a29dba3b90ba62df40336fa217b7.png,https://uk.ixl.com/maths/reception/count-on-ten-frames-up-to-5
Maths,Reception,,B,Count to 5,B,UAT,2020007372,Count on ten frames - up to 5,https://www.ixl.com/screenshot/f48ac451ef28a29dba3b90ba62df40336fa217b7.png,https://uk.ixl.com/maths/reception/count-on-ten-frames-up-to-5
Maths,Reception,,B,Count to 5,B.11,6BF,2020006868,Show numbers on ten frames - up to 5,https://www.ixl.com/screenshot/17c786bb2dcbf87920504d560c2ff043162a4833.png,https://uk.ixl.com/maths/reception/show-numbers-on-ten-frames-up-to-5
Maths,Reception,,B,Count to 5,B.11,6BF,2020006868,Show numbers on ten frames - up to 5,https://www.ixl.com/screenshot/17c786bb2dcbf87920504d560c2ff043162a4833.png,https://uk.ixl.com/maths/reception/show-numbers-on-ten-frames-up-to-5
Maths,Reception,,B,Count to 5,B,6BF,2020006868,Show numbers on ten frames - up to 5,https://www.ixl.com/screenshot/17c786bb2dcbf87920504d560c2ff043162a4833.png,https://uk.ixl.com/maths/reception/show-numbers-on-ten-frames-up-to-5
Maths,Reception,,B,Count to 5,B.12,YAJ,2002012514,Represent numbers - up to 5,https://www.ixl.com/screenshot/0e85d082fd09facebc2d0948dc7a8b375a44d34e.png,https://uk.ixl.com/maths/reception/represent-numbers-up-to-5
Maths,Reception,,B,Count to 5,B.12,YAJ,2002012514,Represent numbers - up to 5,https://www.ixl.com/screenshot/0e85d082fd09facebc2d0948dc7a8b375a44d34e.png,https://uk.ixl.com/maths/reception/represent-numbers-up-to-5
Maths,Reception,,B,Count to 5,B,YAJ,2002012514,Represent numbers - up to 5,https://www.ixl.com/screenshot/0e85d082fd09facebc2d0948dc7a8b375a44d34e.png,https://uk.ixl.com/maths/reception/represent-numbers-up-to-5
Maths,Reception,,B,Count to 5,B.13,FKT,2020056315,One more with pictures - up to 5,https://www.ixl.com/screenshot/2b352032c05cee652986d92b54a5afb92304495b.png,https://uk.ixl.com/maths/reception/one-more-with-pictures-up-to-5
Maths,Reception,,B,Count to 5,B.13,FKT,2020056315,One more with pictures - up to 5,https://www.ixl.com/screenshot/2b352032c05cee652986d92b54a5afb92304495b.png,https://uk.ixl.com/maths/reception/one-more-with-pictures-up-to-5
Maths,Reception,,B,Count to 5,B,FKT,2020056315,One more with pictures - up to 5,https://www.ixl.com/screenshot/2b352032c05cee652986d92b54a5afb92304495b.png,https://uk.ixl.com/maths/reception/one-more-with-pictures-up-to-5
Maths,Reception,,B,Count to 5,B.14,DPZ,2020056415,One more - up to 5,https://www.ixl.com/screenshot/169829d7af3142acf5d77ec60d488f8452cdc406.png,https://uk.ixl.com/maths/reception/one-more-up-to-5
Maths,Reception,,B,Count to 5,B.14,DPZ,2020056415,One more - up to 5,https://www.ixl.com/screenshot/169829d7af3142acf5d77ec60d488f8452cdc406.png,https://uk.ixl.com/maths/reception/one-more-up-to-5
Maths,Reception,,B,Count to 5,B,DPZ,2020056415,One more - up to 5,https://www.ixl.com/screenshot/169829d7af3142acf5d77ec60d488f8452cdc406.png,https://uk.ixl.com/maths/reception/one-more-up-to-5
Maths,Reception,,B,Count to 5,B.15,GV5,2020056515,One less with pictures - up to 5,https://www.ixl.com/screenshot/b8de073d39e82c5aca2963fccdaa5ed552dc6edf.png,https://uk.ixl.com/maths/reception/one-less-with-pictures-up-to-5
Maths,Reception,,B,Count to 5,B.15,GV5,2020056515,One less with pictures - up to 5,https://www.ixl.com/screenshot/b8de073d39e82c5aca2963fccdaa5ed552dc6edf.png,https://uk.ixl.com/maths/reception/one-less-with-pictures-up-to-5
Maths,Reception,,B,Count to 5,B,GV5,2020056515,One less with pictures - up to 5,https://www.ixl.com/screenshot/b8de073d39e82c5aca2963fccdaa5ed552dc6edf.png,https://uk.ixl.com/maths/reception/one-less-with-pictures-up-to-5
Maths,Reception,,B,Count to 5,B.16,CRN,2020725617,One less - up to 5,https://www.ixl.com/screenshot/95ff50147082ae92ac08be9054e7554381a3145e.png,https://uk.ixl.com/maths/reception/one-less-up-to-5
Maths,Reception,,B,Count to 5,B.16,CRN,2020725617,One less - up to 5,https://www.ixl.com/screenshot/95ff50147082ae92ac08be9054e7554381a3145e.png,https://uk.ixl.com/maths/reception/one-less-up-to-5
Maths,Reception,,B,Count to 5,B,CRN,2020725617,One less - up to 5,https://www.ixl.com/screenshot/95ff50147082ae92ac08be9054e7554381a3145e.png,https://uk.ixl.com/maths/reception/one-less-up-to-5
